Date,Adj Close,Close,High,Low,Open,Volume,daily_return,ma_5,volatility_5,signal,strategy_return,cumulative_return
2026-01-14,259.71697998046875,259.9599914550781,261.82000732421875,256.7099914550781,259.489990234375,40019400,,,,0,,
2026-01-15,257.9685974121094,258.2099914550781,261.0400085449219,257.04998779296875,260.6499938964844,39388600,-0.006731805114335909,,,0,-0.0,1.0
2026-01-16,255.29112243652344,255.52999877929688,258.8999938964844,254.92999267578125,257.8999938964844,72142800,-0.010379120733008063,,,0,-0.0,1.0
2026-01-20,246.46937561035156,246.6999969482422,254.7899932861328,243.4199981689453,252.72999572753906,80267500,-0.03455563680678142,,,0,-0.0,1.0
2026-01-21,247.41848754882812,247.64999389648438,251.55999755859375,245.17999267578125,248.6999969482422,54641700,0.0038508186461043703,253.60999450683593,,-1,0.0,1.0
2026-01-22,248.1178436279297,248.35000610351562,251.0,248.14999389648438,249.1999969482422,39708300,0.002826619116832463,251.28799743652343,0.015533429197957057,-1,-0.002826619116832463,0.9971733808831675
2026-01-23,247.80812072753906,248.0399932861328,249.41000366210938,244.67999267578125,247.32000732421875,41689000,-0.0012482899527435087,249.25399780273438,0.01592212572157107,-1,0.0012482899527435087,0.9984181423956673
2026-01-26,255.17123413085938,255.41000366210938,256.55999755859375,249.8000030517578,251.47999572753906,55969200,0.02971299216040002,249.22999877929686,0.02291976193559226,1,-0.02971299216040002,0.9687521519578637
2026-01-27,258.0285339355469,258.2699890136719,261.95001220703125,258.2099914550781,259.1700134277344,49648300,0.01119762464490659,251.54399719238282,0.01227956383153706,1,0.01119762464490659,0.9795998749294333
2026-01-28,256.2002868652344,256.44000244140625,258.8599853515625,254.50999450683594,257.6499938964844,41288000,-0.007085556394896275,253.3019989013672,0.014294420371271424,1,-0.007085556394896275,0.9726588647711875
2026-01-29,258.0385437011719,258.2799987792969,259.6499938964844,254.41000366210938,258.0,67253000,0.007175153331668849,255.28799743652343,0.014101877307524666,1,0.007175153331668849,0.9796378412653277
2026-01-30,259.2374267578125,259.4800109863281,261.8999938964844,252.17999267578125,255.1699981689453,92443400,0.004646167774132071,257.5760009765625,0.013367919447796535,1,0.004646167774132071,0.984189403033735
2026-02-02,269.7575988769531,270.010009765625,270.489990234375,259.2099914550781,260.0299987792969,73913400,0.04058115590203082,260.4960021972656,0.017725074447210453,1,0.04058115590203082,1.0241289466353736
2026-02-03,269.22808837890625,269.4800109863281,271.8800048828125,267.6099853515625,269.20001220703125,64394700,-0.0019628856713753695,262.7380065917969,0.018695209781549767,1,-0.0019628856713753695,1.0221186986003823
2026-02-04,276.23150634765625,276.489990234375,278.95001220703125,272.2900085449219,272.2900085449219,90545700,0.026012984125945104,266.7480041503906,0.017545860758252905,1,0.026012984125945104,1.0487070560819056
2026-02-05,275.6520690917969,275.9100036621094,279.5,273.2300109863281,278.1300048828125,52977400,-0.0020976765624461935,270.2740051269531,0.019044172052511056,1,-0.0020976765624461935,1.0465072078694906
2026-02-06,277.8599853515625,278.1199951171875,280.9100036621094,276.92999267578125,277.1199951171875,50453400,0.008009827210848641,274.002001953125,0.01871257370465648,1,0.008009827210848641,1.0548895497794328
2026-02-09,274.6199951171875,274.6199951171875,278.20001220703125,271.70001220703125,277.9100036621094,44623400,-0.01258449612198953,274.9239990234375,0.014552131502932907,-1,-0.01258449612198953,1.0416142963311064
2026-02-10,273.67999267578125,273.67999267578125,275.3699951171875,272.94000244140625,274.8900146484375,34376900,-0.003422920610733904,275.7639953613281,0.014702415623513935,-1,0.003422920610733904,1.0451796593744531
2026-02-11,275.5,275.5,280.17999267578125,274.45001220703125,274.70001220703125,51931300,0.0066501292492171515,275.5659973144531,0.008373976542372498,-1,-0.0066501292492171515,1.0382290795509603
2026-02-12,261.7300109863281,261.7300109863281,275.7200012207031,260.17999267578125,275.5899963378906,81077200,-0.049981811301894274,272.72999877929686,0.023715554579611074,-1,0.049981811301894274,1.090121649493216
2026-02-13,255.77999877929688,255.77999877929688,262.2300109863281,255.4499969482422,262.010009765625,56290700,-0.022733396848946263,268.2619995117187,0.021691703670775383,-1,0.022733396848946263,1.1149038175647732
2026-02-17,263.8800048828125,263.8800048828125,266.2900085449219,255.5399932861328,258.04998779296875,58469100,0.031667863563111576,266.11400146484374,0.030772188920584163,-1,-0.031667863563111576,1.0795971955841397
2026-02-18,264.3500061035156,264.3500061035156,266.82000732421875,262.45001220703125,263.6000061035156,34203300,0.0017811172199722058,264.2480041503906,0.03103416263671629,1,-0.0017811172199722058,1.077674306428451
2026-02-19,260.5799865722656,260.5799865722656,264.4800109863281,260.04998779296875,262.6000061035156,30845300,-0.014261469431454121,261.2640014648438,0.030213247921779395,-1,-0.014261469431454121,1.0623050872502582
2026-02-20,264.5799865722656,264.5799865722656,264.75,258.1600036621094,258.9700012207031,42070500,0.015350373037534393,261.83399658203126,0.021988562771433826,1,-0.015350373037534393,1.0459983078812962
2026-02-23,266.17999267578125,266.17999267578125,269.42999267578125,263.3800048828125,263.489990234375,37308200,0.006047343656806037,263.91399536132815,0.016971944807046474,1,0.006047343656806037,1.052323819113492
2026-02-24,272.1400146484375,272.1400146484375,274.8900146484375,267.7099914550781,267.8599853515625,47014600,0.022390946489790453,265.5659973144531,0.014000701983357813,1,0.022390946489790453,1.075886345437194
2026-02-25,274.2300109863281,274.2300109863281,274.94000244140625,271.04998779296875,271.7799987792969,33714300,0.007679856784716499,267.5419982910156,0.0137754817614781,1,0.007679856784716499,1.0841489984867838
2026-02-26,272.95001220703125,272.95001220703125,276.1099853515625,270.79998779296875,274.95001220703125,32345100,-0.004667610137537803,270.01600341796876,0.010201232215102274,1,-0.004667610137537803,1.0790886136308455
2026-02-27,264.17999267578125,264.17999267578125,272.80999755859375,262.8900146484375,272.80999755859375,72366500,-0.03213049693728531,269.9360046386719,0.020316052759576115,-1,-0.03213049693728531,1.0444169602355202
2026-03-02,264.7200012207031,264.7200012207031,266.5299987792969,260.20001220703125,262.4100036621094,41827900,0.002044093269336189,269.6440063476563,0.02008906374058788,-1,-0.002044093269336189,1.0422820745567223
2026-03-03,263.75,263.75,265.55999755859375,260.1300048828125,263.4800109863281,38568900,-0.0036642536122324376,267.96600341796875,0.015344141489886175,-1,0.0036642536122324376,1.046101260413382
2026-03-04,262.5199890136719,262.5199890136719,266.1499938964844,261.4200134277344,264.6499938964844,39803100,-0.004663548763329417,265.6239990234375,0.013437825341530025,-1,0.004663548763329417,1.0509798046527
2026-03-05,260.2900085449219,260.2900085449219,261.55999755859375,257.25,260.7900085449219,49658600,-0.00849451684471103,263.0919982910156,0.013264555704561259,-1,0.00849451684471103,1.0599073703067734
2026-03-06,257.4599914550781,257.4599914550781,258.7699890136719,254.3699951171875,258.6300048828125,41120000,-0.010872553678353492,261.747998046875,0.004953041986802925,-1,0.010872553678353492,1.071431270084516
